no match: /b{4,6}/ bbbdbtbbbj, bbbbbbb
MATCH: /k{11,12}/ kkkkkkkkkkkvqk, kkkkkkkkkkkk
no match: /x{11,12}/ xlxxxjjxxxpx, xxxxxxxx
MATCH: /n{1,12}/ nngtnhlnjfnf, nnnnn
no match: /p{5,7}/ ppptppppp, pppppppp
no match: /l{13,14}/ lllmlflllhllpm, lllllllll
no match: /m{13,14}/ vdkmrdfzmkknmp, mmm
MATCH: /s{13,15}/ ssssssqssssscssss, sssssssssssssss
MATCH: /h{5,11}/ hhhlxhhhhhhshh, hhhhhhhhhhh
no match: /s{10,11}/ ssssssssssgsssss, sssssssssssssss
MATCH: /q{6,7}/ kqqqqmqnqq, qqqqqqq
MATCH: /l{8,13}/ llllllltlllljll, lllllllllllll
MATCH: /j{9,12}/ jjjjjjjjjjjlj, jjjjjjjjjjjj
MATCH: /s{7,11}/ gstcncsssscssssss, sssssssssss
no match: /x{4,6}/ lrtjfnhmpmxj, x
MATCH: /c{9,20}/ cttccccccnccclcccccc, cccccccccccccccc
no match: /w{1,8}/ cwwwwwwwwww, wwwwwwwwww
MATCH: /n{12,13}/ nnnnnnnngnnnnn, nnnnnnnnnnnnn
no match: /p{1,5}/ pfqwcpnppppwwpqppp, pppppppppp
MATCH: /g{7,8}/ gggsgglghg, ggggggg
no match: /g{6,7}/ gggggggg, gggggggg
no match: /s{4,10}/ ssssssssssss, ssssssssssss
no match: /n{1,2}/ njsnnln, nnnn
no match: /z{7,8}/ gzczzwdzkkzz, zzzzzz
MATCH: /b{2,8}/ bbbwjfbh, bbbb
MATCH: /r{6,8}/ rrrrbrrbr, rrrrrrr
MATCH: /k{2,5}/ lkkkkl, kkkk
MATCH: /c{2,3}/ swcgjcm, cc
no match: /t{2,10}/ ttttttttttt, ttttttttttt
MATCH: /l{12,13}/ lllllxllllllqhl, llllllllllll
MATCH: /l{2,9}/ qtqxdpqqlwhqwlr, ll
MATCH: /q{1,5}/ qqxrn, qq
MATCH: /k{10,11}/ kkkkkkkkkckk, kkkkkkkkkkk
no match: /f{1,2}/ ffff, ffff
MATCH: /r{3,4}/ rrxr, rrr
no match: /p{8,9}/ lppppxpsp, pppppp
MATCH: /s{2,5}/ ssstchlrds, ssss
no match: /m{11,15}/ mmmmmmmmmmmmmmmmm, mmmmmmmmmmmmmmmmm
MATCH: /k{14,17}/ kkkkkkkkkkgkkkktbkk, kkkkkkkkkkkkkkkk
no match: /x{1,2}/ xlxx, xxx
no match: /w{9,10}/ wwcwptczwzzd, wwww
no match: /c{1,3}/ ccgcccccccccccccc, cccccccccccccccc
MATCH: /h{4,5}/ nhhhvh, hhhh
MATCH: /l{8,16}/ hlllfllllmltlhlldl, llllllllllll
no match: /w{4,5}/ wgwfw, www
no match: /p{6,15}/ pjpbfrmxqgkxkbqhj, pp
MATCH: /l{12,17}/ llmtllnlllllllllnns, lllllllllllll
no match: /n{8,15}/ zjnxzndnznklxzjlx, nnnn
no match: /r{6,9}/ wpsmstnkgtrmng, r
MATCH: /s{3,7}/ csvhxhsgvrsrn, sss
no match: /h{10,15}/ hchhhdhkhghlhgsh, hhhhhhhhh
MATCH: /c{2,9}/ mzbmtccktc, ccc
no match: /x{3,4}/ xlzvxg, xx
MATCH: /k{12,14}/ zmkskknwkkkmkkwkgkkk, kkkkkkkkkkkk
MATCH: /r{4,9}/ vqrrrrdzpl, rrrr
MATCH: /g{3,4}/ ggvbxg, ggg
no match: /q{5,8}/ xtrqrmqq, qqq
MATCH: /l{16,18}/ zllllllllllllllwlnll, lllllllllllllllll
no match: /s{6,7}/ zsqszss, ssss
MATCH: /g{3,4}/ wghgpg, ggg
MATCH: /z{1,6}/ hzzzzrz, zzzzz
no match: /h{3,8}/ hthfqtccnq, hh
MATCH: /p{15,18}/ ppppppcpppppppnppppp, pppppppppppppppppp
MATCH: /l{3,4}/ qplkdmjntlghjlpxlq, llll
no match: /q{10,12}/ xzqkxdvgrqxqqzzxgjj, qqqq
MATCH: /q{6,9}/ qqqvsvqqxq, qqqqqq
no match: /g{12,13}/ shgcnjlgvcgqg, gggg
MATCH: /l{5,10}/ llklplllmlsl, llllllll
MATCH: /l{3,12}/ vllqfzwnsqslpnvrbkh, lll
MATCH: /g{14,16}/ gjggggggggggggbzcggg, gggggggggggggggg
no match: /m{5,11}/ ssmsmbnspmm, mmmm
no match: /v{11,13}/ mkqvvvvvmcvvz, vvvvvvv
MATCH: /k{2,3}/ mkkchtzqsvkbclgxn, kkk
MATCH: /r{4,7}/ rphrrnrrqwknrktrgsg, rrrrrrr
no match: /z{6,10}/ vpjhzzzkqzjl, zzzz
MATCH: /c{16,18}/ ccccccccccccccchccc, cccccccccccccccccc
MATCH: /v{1,10}/ qvvvvzvvvvvv, vvvvvvvvvv
MATCH: /j{5,7}/ jjrjjjj, jjjjjj
no match: /l{14,16}/ zlgdrlqllgpllfhh, llllll
MATCH: /l{3,6}/ llmllll, llllll
no match: /l{3,4}/ smdl, l
no match: /h{4,11}/ kgqhcpvrbldrhbq, hh
MATCH: /j{1,15}/ ljjjjjjjjjjjjjjj, jjjjjjjjjjjjjjj
no match: /c{7,14}/ ccccccccccccccc, ccccccccccccccc
no match: /v{2,10}/ vzvjvvvvvvvvv, vvvvvvvvvvv
no match: /p{4,9}/ flbpmqmhkpt, pp
no match: /q{10,12}/ rtdrqmpcsqrhqqchqczw, qqqqq
no match: /w{16,19}/ vlwxgtmjwrzvqgdwbdw, wwww
no match: /c{8,15}/ gkcccslctcmszhc, cccccc
no match: /f{3,7}/ hhffhbbtbwzw, ff
MATCH: /s{4,9}/ msbsxssds, sssss
MATCH: /p{13,15}/ pppppppppcpppxldp, ppppppppppppp
MATCH: /m{6,7}/ mmmmmqmm, mmmmmmm
no match: /m{11,12}/ mxmmzwmmmdqpmp, mmmmmmm
no match: /l{7,12}/ gncmgzxlqcllqgt, lll
MATCH: /t{12,14}/ tttttttttttdtt, ttttttttttttt
no match: /f{2,6}/ ffffffbrfffp, fffffffff
no match: /h{14,17}/ hhdhpphhhhhhkhhxqph, hhhhhhhhhhhh
no match: /x{7,9}/ xxxxxxxxqxxxxxx, xxxxxxxxxxxxxx
MATCH: /j{5,18}/ vlwgjljtljtrdbxjnjwm, jjjjj
no match: /n{5,7}/ jmncnsndnbwx, nnnn
MATCH: /r{8,9}/ rrrrrrrrr, rrrrrrrrr
MATCH: /j{11,17}/ jjjjjjjjjjjjjjpjr, jjjjjjjjjjjjjjj
no match: /x{5,6}/ xxxxjt, xxxx
no match: /l{13,15}/ nshmnjgzhmjdzvl, l
no match: /r{9,10}/ wmsvzxsrqnnhfr, rr
no match: /k{8,11}/ kkkxxrkpktg, kkkkk
no match: /r{1,7}/ rrrrrrrfrrrjwrd, rrrrrrrrrrr
no match: /t{5,7}/ rztvtvplbrk, tt
MATCH: /w{2,7}/ wwwwwwsw, wwwwwww
no match: /g{1,2}/ sgggk, ggg
MATCH: /j{12,13}/ jjjjjwjjjjvvjjjrjs, jjjjjjjjjjjjj
no match: /c{1,2}/ cccccc, cccccc
no match: /g{3,5}/ khgzr, g
MATCH: /b{9,16}/ bbbbbbcbsbbbbbbb, bbbbbbbbbbbbbb
no match: /z{12,13}/ zzzzzzzzzszkz, zzzzzzzzzzz
MATCH: /r{4,5}/ rkrrrr, rrrrr
MATCH: /t{1,2}/ tgbqtddbmq, tt
no match: /w{1,2}/ wkwwwww, wwwwww
no match: /q{14,15}/ qqdqqqqqqqqhqnb, qqqqqqqqqqq
MATCH: /r{6,7}/ rrrrrdmrr, rrrrrrr
no match: /j{8,9}/ jjjjjjjqhjjjjj, jjjjjjjjjjjj
no match: /t{3,6}/ gwmlntffstzllvs, tt
MATCH: /h{6,8}/ hhhhnhhhqh, hhhhhhhh
MATCH: /w{9,11}/ cwcwwwwwgxwwbw, wwwwwwwww
MATCH: /w{5,9}/ wwwwcwwww, wwwwwwww
MATCH: /k{8,12}/ snjmkkhrgkkzkkpskk, kkkkkkkk
MATCH: /q{3,6}/ lvqjqlq, qqq
MATCH: /z{3,4}/ zzzn, zzz
no match: /t{9,12}/ dvmvhttxtmzhrr, ttt
no match: /k{3,7}/ kkkkkkskkkkkk, kkkkkkkkkkkk
no match: /v{6,15}/ vqvvvdvvvvbvvvvvvvvv, vvvvvvvvvvvvvvvvv
no match: /z{3,4}/ jzzzzzdk, zzzzz
MATCH: /b{8,12}/ bbbbbbbbbbbs, bbbbbbbbbbb
MATCH: /m{3,9}/ nvhwmwgmmqkbmmmzb, mmmmmm
no match: /r{8,10}/ npwjcgwrwcrx, rr
MATCH: /r{1,5}/ rxdrr, rrr
MATCH: /p{6,9}/ ppppppsbkmppkp, ppppppppp
no match: /j{1,4}/ jjjqjjjz, jjjjjj
MATCH: /b{6,7}/ rblbbbbbbp, bbbbbbb
MATCH: /t{5,9}/ tttttttttf, ttttttttt
MATCH: /c{8,9}/ czcccccccc, ccccccccc
no match: /j{13,14}/ jjjbjjtbjjjjjj, jjjjjjjjjjj
MATCH: /p{3,8}/ pwppzqvp, pppp
no match: /m{3,12}/ mmzmmmmmmmmmmm, mmmmmmmmmmmmm
no match: /d{3,9}/ ddjddddddqddd, ddddddddddd
MATCH: /q{3,4}/ qqfq, qqq
no match: /m{6,14}/ mmmmmbmmmmwmmlmmmm, mmmmmmmmmmmmmmm
no match: /c{3,4}/ glgzc, c
MATCH: /t{6,7}/ ttttttt, ttttttt
MATCH: /s{1,4}/ sssbs, ssss
no match: /r{5,8}/ drrkrrrzrrrr, rrrrrrrrr
no match: /q{10,12}/ rvqfqqkllqqqlfrq, qqqqqqq
no match: /s{11,13}/ szsssssssssssss, ssssssssssssss
MATCH: /t{8,11}/ tttttttsttvt, tttttttttt
no match: /j{11,15}/ zjjjjjjjjjjjjjjjjj, jjjjjjjjjjjjjjjjj
no match: /s{2,4}/ dvfs, s
no match: /q{3,4}/ zhpq, q
MATCH: /c{10,11}/ cccccccccckc, ccccccccccc
no match: /h{5,11}/ pnrjhtdlkzvhh, hhh
no match: /l{5,9}/ nlllxgnrlllllllmq, llllllllll
MATCH: /f{3,4}/ gfff, fff
no match: /g{8,9}/ grgggggbg, ggggggg
no match: /j{3,4}/ pfwjhh, j
no match: /l{2,5}/ jlfjr, l
MATCH: /l{2,4}/ lblv, ll
MATCH: /q{3,10}/ qqvzhnqqhqvqq, qqqqqqq
MATCH: /t{11,15}/ tfttttttktwttts, ttttttttttt
no match: /b{12,14}/ gqptrzwclbdbfqd, bb
MATCH: /r{1,4}/ crrprr, rrrr
no match: /v{5,13}/ qvdvvvdnrqmrqp, vvvv
MATCH: /r{9,12}/ rwrrlsrrsrrjgdnrrr, rrrrrrrrrr
MATCH: /c{4,6}/ ccldccnp, cccc
no match: /q{16,17}/ qqqqqpqqqqlqqqqmlq, qqqqqqqqqqqqqq
no match: /w{2,8}/ wwwwwwwhwmwws, wwwwwwwwww
MATCH: /m{3,6}/ dmmbmmdmkxm, mmmmmm
no match: /t{6,13}/ xflrtblvcvfxnlf, t
MATCH: /m{2,6}/ pmnsmm, mmm
no match: /k{13,15}/ kstfvnkkgfvvkbk, kkkkk
MATCH: /w{4,10}/ jqwcwlcwcwvqbfzfzfm, wwww
MATCH: /d{1,5}/ ddndbmjxhfqqn, ddd
no match: /p{13,16}/ pzvbszhqtpklpkpdw, pppp
MATCH: /t{2,4}/ thttwmxjsbtp, tttt
no match: /s{8,10}/ zbsvjcssfmf, sss
no match: /l{3,5}/ lltlwlllll, llllllll
no match: /g{12,14}/ hgfvvfpnrvpfggnss, ggg
no match: /q{3,13}/ cjmbvgxchmqdqcvc, qq
MATCH: /j{12,16}/ cjjjjjjjjjjqjjjjjj, jjjjjjjjjjjjjjjj
MATCH: /m{1,5}/ kqrgm, m
no match: /x{11,14}/ xcjpwbrrffxkfxh, xxx
no match: /c{12,14}/ kgfnccxqczkcjkcc, cccccc
MATCH: /f{3,4}/ sfftf, fff
MATCH: /f{1,3}/ ffdz, ff
no match: /t{12,14}/ xftfxmkttdsttg, ttttt
MATCH: /f{4,9}/ ffhcgfffffff, fffffffff
no match: /b{9,10}/ zjlbbsbzbx, bbbb
no match: /m{9,14}/ hhxmlmmmzmmtmm, mmmmmmmm
no match: /t{3,5}/ tkcpzjwr, t
no match: /k{6,9}/ wkfdwflgrntrknsr, kk
MATCH: /l{1,4}/ gfml, l
no match: /z{9,10}/ zzzzzzzzzrzzzz, zzzzzzzzzzzzz
no match: /h{9,11}/ hhhhhhhhhhzhh, hhhhhhhhhhhh
no match: /k{1,9}/ kkkkkkkkzkkkkkkk, kkkkkkkkkkkkkkk
MATCH: /h{2,7}/ sswmmkhkvhw, hh
MATCH: /m{2,5}/ pmbnnmzrkk, mm
no match: /f{9,12}/ xhpfbfdffkfw, fffff
no match: /g{3,4}/ gfwg, gg
no match: /n{11,12}/ nnnnnnnnnnnpnnnxn, nnnnnnnnnnnnnnn
no match: /d{5,6}/ dddddgddd, dddddddd
no match: /j{7,9}/ cbjgnjqjgj, jjjj
MATCH: /r{9,14}/ rrrrrrrhrrrrrzbrr, rrrrrrrrrrrrrr
no match: /p{4,5}/ prphk, pp
MATCH: /d{2,4}/ dpdd, ddd
MATCH: /p{5,15}/ zjsppzhqqgqspcppqpps, ppppppp
no match: /r{2,7}/ rrrrrrfwrr, rrrrrrrr
MATCH: /h{1,3}/ hhqh, hhh
no match: /g{14,16}/ zgvdgspkjrrvcgdlxg, gggg
MATCH: /c{4,6}/ psgqccccvc, ccccc
no match: /q{9,14}/ qdqjqmttdtcqggqpqn, qqqqqq
MATCH: /f{13,18}/ ffffffffffffgffffff, ffffffffffffffffff
no match: /g{8,9}/ gggggggggggg, gggggggggggg
MATCH: /x{11,12}/ xxxxxxxxxxxr, xxxxxxxxxxx
MATCH: /c{2,17}/ cxcccfchcccccccbbcm, ccccccccccccc
no match: /b{7,11}/ nwbrzndvrfxwt, b
MATCH: /x{3,4}/ xhwxxxv, xxxx
no match: /r{16,17}/ rzrrnrrrvxrrzrrrrrr, rrrrrrrrrrrrrr
no match: /f{2,3}/ zcvgbmxvwp, 
no match: /b{5,6}/ fwbbbf, bbb
MATCH: /m{6,10}/ mmmmmpmmmw, mmmmmmmm
MATCH: /n{2,4}/ bnnvndbpvzj, nnn
no match: /t{3,4}/ dftfhdngqp, t
no match: /v{1,2}/ vtvvvvvvvvv, vvvvvvvvvv
MATCH: /v{2,3}/ vgvv, vvv
no match: /s{9,10}/ tsvsshsssgssssmsksss, ssssssssssssss
MATCH: /t{6,7}/ ttttttxt, ttttttt
no match: /c{3,4}/ jcrc, cc
no match: /l{5,8}/ ztlmjljlb, lll
MATCH: /w{4,5}/ bwwwww, wwwww
MATCH: /r{11,14}/ rrrbrrrrrrnrrrs, rrrrrrrrrrrr
MATCH: /z{10,16}/ zzzzznzzzwzzzzzzzz, zzzzzzzzzzzzzzzz
no match: /m{7,13}/ mmmmmmfmmmmmmmmmmmmm, mmmmmmmmmmmmmmmmmmm
no match: /w{15,19}/ fflzcwftmcswcwwnwts, wwwww
MATCH: /b{10,19}/ bjbbbbbbmwbbbbbbbbtb, bbbbbbbbbbbbbbbb
no match: /x{14,16}/ xxxxpxxpxxqxdqxxxx, xxxxxxxxxxxxx
no match: /r{8,13}/ rkzrjbxrgwkhnb, rrr
MATCH: /r{5,18}/ rrrzfkrrrrrrrrtrrnrr, rrrrrrrrrrrrrrr
MATCH: /b{4,5}/ bbbfzb, bbbb
no match: /q{6,10}/ qnscxqqfqb, qqqq
no match: /w{8,13}/ wwwwwwwfwwwwwwwwww, wwwwwwwwwwwwwwwww
no match: /n{10,11}/ scvnsnpgnjnmdpnwct, nnnnn
no match: /p{7,11}/ pjpppppdqpjpfppsptp, pppppppppppp
no match: /n{7,9}/ jfsvclhfm, 
no match: /h{3,8}/ whsggqscd, h
MATCH: /r{2,12}/ mrmpxhrqsdmqpjshvck, rr
no match: /g{2,4}/ gdgggg, ggggg
MATCH: /s{7,12}/ ssssssssgsss, sssssssssss
MATCH: /l{7,11}/ dlklllnjlslbl, lllllll
no match: /k{5,11}/ kkkkkkkkkkkkkkk, kkkkkkkkkkkkkkk
no match: /g{6,9}/ dhtvcgmfrjhk, g
no match: /m{4,5}/ lmmmhmsmmmmmcmmmmzmm, mmmmmmmmmmmmmmm
no match: /t{11,13}/ zgtnkjzmtkttmtkc, ttttt
MATCH: /b{6,7}/ bbbbbbv, bbbbbb
MATCH: /q{3,4}/ qqcq, qqq
no match: /z{12,16}/ zzzszjzszzczmxtzzcl, zzzzzzzzzz
MATCH: /w{2,5}/ wwfhp, ww
no match: /d{1,2}/ gddkd, ddd
no match: /f{5,12}/ fwqgbvrcfmwb, ff
no match: /w{2,5}/ bnxcw, w
MATCH: /t{3,15}/ ncwftppphsxvztttjs, tttt
MATCH: /p{7,10}/ ppnsppkcppsp, ppppppp
no match: /v{5,6}/ vvrdvv, vvvv
no match: /z{5,6}/ hczwbzz, zzz
no match: /p{3,12}/ gcphfgmzfkflspmxg, pp
no match: /m{14,19}/ jmfmfjpvbmfmmrdkdnzp, mmmmm
MATCH: /p{6,7}/ pdwzppppp, pppppp
MATCH: /b{4,7}/ bbbnbbqbb, bbbbbbb
no match: /r{7,8}/ frrrrrxxr, rrrrrr
no match: /b{8,18}/ jbphpzgvnppwhkxfzs, b
MATCH: /c{1,5}/ pvhcc, cc
MATCH: /z{4,8}/ fzznzjzztstzxrz, zzzzzzz
MATCH: /v{5,10}/ jvvwvvvlvlvqc, vvvvvvv
no match: /p{7,14}/ svgrzfpxkdpbhph, ppp
no match: /n{5,7}/ nncmvkn, nnn
no match: /r{11,12}/ rrlrbrrrvrrr, rrrrrrrrr
MATCH: /r{1,5}/ vtngrndhqf, r
no match: /k{2,4}/ knjp, k
MATCH: /h{11,14}/ hhghhhhhhhxhhwhhh, hhhhhhhhhhhhhh
no match: /r{16,18}/ rrrrrrrrrrrrrrrpnb, rrrrrrrrrrrrrrr
no match: /d{10,14}/ dpddbvdtdmxfdddd, ddddddddd
MATCH: /t{2,4}/ cztt, tt
no match: /r{5,6}/ rzrprd, rrr
MATCH: /n{2,5}/ ngwdngc, nn
no match: /q{1,6}/ qqqzzwwqqqkqqq, qqqqqqqqq
no match: /l{7,8}/ lllzllpxl, llllll
MATCH: /b{1,4}/ kmltzzjzbppgwq, b
MATCH: /t{1,4}/ ttttb, tttt
no match: /p{3,4}/ dkxpcph, pp
no match: /z{7,15}/ zzzzzzhzzzzzzzzzz, zzzzzzzzzzzzzzzz
no match: /c{4,7}/ cdljfccm, ccc
no match: /p{3,8}/ hbpxhlmc, p
MATCH: /w{4,5}/ wwwlw, wwww
no match: /b{14,15}/ lbqbbbkgbbwfbdb, bbbbbbbb
no match: /j{6,10}/ jtjjvpwwthwcsj, jjjj
MATCH: /t{5,8}/ ltvtttbtqxtzq, tttttt
MATCH: /t{12,13}/ ttttttttjttztxt, tttttttttttt
MATCH: /p{16,18}/ ppppppppppppppxpxbpp, ppppppppppppppppp
MATCH: /n{4,7}/ nnnrnnnnt, nnnnnnn
no match: /r{1,2}/ rfrr, rrr
no match: /g{5,6}/ ggggvggg, ggggggg
no match: /s{3,4}/ ssbw, ss
MATCH: /l{3,4}/ ldll, lll
no match: /m{8,10}/ mmmmvmmcjkmg, mmmmmmm
MATCH: /w{10,18}/ wwvwwvwwhwwjwwwlwxcm, wwwwwwwwwwww
no match: /x{1,2}/ cxxxxxxxxxxxxx, xxxxxxxxxxxxx
no match: /b{1,5}/ bbbbkbbb, bbbbbbb
no match: /z{12,14}/ zwqzrrzzvqqzzszrx, zzzzzzz
no match: /z{1,5}/ lzzfzzzfz, zzzzzz
no match: /t{16,17}/ ftgstrgptwmptxrzt, ttttt
no match: /b{9,10}/ bbbbbbbzbbbb, bbbbbbbbbbb
MATCH: /w{8,14}/ wwwwwwwjwwwzwzww, wwwwwwwwwwwww
no match: /h{3,4}/ qhnh, hh
no match: /d{2,12}/ dnddddkddddzdxdddd, dddddddddddddd
MATCH: /x{5,17}/ xxxxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxx
no match: /h{9,10}/ hhhhtqhhhrh, hhhhhhhh
MATCH: /p{6,7}/ pfmppppp, pppppp
MATCH: /v{5,8}/ vbvvvvvs, vvvvvv
no match: /h{4,5}/ qhfhqcb, hh
MATCH: /d{3,12}/ dlddlhhwvcrdrxwpt, dddd
MATCH: /n{2,3}/ nnwnp, nnn
no match: /g{4,8}/ ggggjgfgzgdglgg, gggggggggg
no match: /h{4,9}/ vrghsphxhxzsxw, hhh
no match: /z{12,18}/ qrzzzfwdcwnzdzkckz, zzzzzz
no match: /v{6,8}/ zvmlqwwh, v
MATCH: /p{10,14}/ pppxwpndfpwppdpptmpp, ppppppppppp
no match: /q{12,15}/ qqnqkqkqjgrcqfq, qqqqqqq
MATCH: /n{2,4}/ pnszjnnn, nnnn
MATCH: /c{2,3}/ zkctcfc, ccc
no match: /l{17,20}/ lvjlcclllslzllllwgll, llllllllllll
no match: /k{16,17}/ dfgskkfkkkfjhfvfks, kkkkkk
no match: /t{1,3}/ tjttltt, ttttt
no match: /b{2,3}/ bbzbb, bbbb
MATCH: /t{8,15}/ dtttttsttlttttzlttj, ttttttttttttt
no match: /v{13,14}/ vvkvvjvgwvvvkvf, vvvvvvvvv
MATCH: /v{7,8}/ tvvvvvvhv, vvvvvvv
MATCH: /d{3,10}/ bxktdrtddtdtsh, dddd
MATCH: /j{4,12}/ npwxjjjjbjkq, jjjjj
no match: /l{1,4}/ tlllll, lllll
MATCH: /b{12,13}/ lbhpxbbbvbbbqbbbsbb, bbbbbbbbbbbb
no match: /v{9,15}/ vqhsggmpvmqtbzzlq, vv
no match: /f{12,14}/ ffhfjfffqfxqff, fffffffff
no match: /m{15,16}/ jtnsjwpggbpxlhqmk, m
no match: /n{2,4}/ xptncjsstcl, n
no match: /q{5,8}/ dmwklqjqnzb, qq
no match: /c{3,4}/ vcgl, c
MATCH: /h{1,6}/ hhhhhh, hhhhhh
no match: /x{8,9}/ ckblstcdx, x
no match: /w{5,7}/ vwphwwmwwwww, wwwwwwww
MATCH: /x{2,4}/ kxxxdh, xxx
no match: /m{10,11}/ kmmvmmmfmksmj, mmmmmmm
MATCH: /v{4,7}/ zvrvvvdvvv, vvvvvvv
MATCH: /p{1,8}/ npxbwqpxbjrnrv, pp
no match: /t{5,11}/ jfkwttkstrxlgts, tttt
no match: /g{1,2}/ ggggg, ggggg
MATCH: /p{5,7}/ tpppppr, ppppp
no match: /v{15,17}/ vvvvvvvvvvvvvvvvvvvv, vvvvvvvvvvvvvvvvvvvv
no match: /w{17,19}/ dwjwjznczwgfmkmhdtw, wwww
no match: /f{10,13}/ fffffbqfffffffffff, ffffffffffffffff
no match: /g{4,14}/ ggggggggggggggg, ggggggggggggggg
MATCH: /d{2,3}/ bdkfd, dd
MATCH: /x{7,8}/ xxxxxxxx, xxxxxxxx
MATCH: /h{6,9}/ hmshdhvvhkhbhcshs, hhhhhhh
MATCH: /g{14,15}/ gggggggggggggghg, ggggggggggggggg
MATCH: /q{2,16}/ qqsxqqqdgqqghqqk, qqqqqqqqq
MATCH: /p{3,17}/ ppbppprppppppppphppp, ppppppppppppppppp
no match: /v{8,18}/ vczfvqcvvcspndvxwjdv, vvvvvv
no match: /d{1,3}/ fdddd, dddd
no match: /j{9,11}/ gfjjnjsdnhb, jjj
no match: /s{8,10}/ hkhshttssl, sss
no match: /f{5,10}/ ffsffffffqxfff, fffffffffff
no match: /w{7,10}/ wwlwwckwwf, wwwwww
no match: /x{4,8}/ blxxmtbgnblfgnfwz, xx
MATCH: /p{4,5}/ rlpkprppp, ppppp
no match: /s{13,14}/ ssssssssssssswss, sssssssssssssss
no match: /h{4,8}/ hhhdhmhhhjhlhh, hhhhhhhhhh
no match: /h{6,7}/ chhhhhfhzqhdhhh, hhhhhhhhhh
no match: /m{15,17}/ msvrmwzkzvmmgrmmpm, mmmmmmm
no match: /x{4,6}/ qgtwwxhgsxxmklgmn, xxx
no match: /p{4,7}/ rpzkdpp, ppp
no match: /v{3,4}/ vvvhvjv, vvvvv
MATCH: /p{16,18}/ pppppppppppppppppmp, pppppppppppppppppp
no match: /k{15,17}/ kpkkkkkhqkkkkklktk, kkkkkkkkkkkkk
no match: /s{5,7}/ ssbxxsk, sss
MATCH: /l{2,4}/ cwllll, llll
MATCH: /v{6,9}/ cvvrrkvrvsdvfwcv, vvvvvv
no match: /w{1,7}/ qwwwwslwwwwwwwwrww, wwwwwwwwwwwwww
no match: /c{2,12}/ clcccccccccccccc, ccccccccccccccc
no match: /m{5,10}/ ftcmrpmvrzc, mm
no match: /w{7,11}/ wwwwwwwwwwtwwwww, wwwwwwwwwwwwwww
MATCH: /n{2,3}/ jngdlvgcvtkmn, nn
no match: /v{1,8}/ hvvvvvvvvv, vvvvvvvvv
no match: /p{3,17}/ jrpvltxlcqgpfxwsj, pp
no match: /k{1,5}/ kkkkfkk, kkkkkk
MATCH: /c{1,10}/ cccccccccfc, cccccccccc
no match: /f{13,19}/ flfffffxfvffffprfmcb, ffffffffffff
no match: /g{3,6}/ htglsbvrzcghjmd, gg
no match: /h{9,11}/ wrwghhhhnzhxl, hhhhh
MATCH: /z{5,12}/ zzkzzhnjpmkvzzzw, zzzzzzz
no match: /w{7,11}/ qrwcwwstwddw, wwwww
no match: /m{15,19}/ mmmmmmmmmmmmmmmmmmmm, mmmmmmmmmmmmmmmmmmmm
MATCH: /m{15,16}/ mmmmmmmmmmmmmmhmm, mmmmmmmmmmmmmmmm
no match: /x{12,16}/ xxxxxcxxxxxlxxxxxxx, xxxxxxxxxxxxxxxxx
MATCH: /l{5,10}/ qwfqlllgsdjrlspll, llllll
no match: /f{3,4}/ hffmfffg, fffff
MATCH: /l{6,7}/ lwlllbllnl, lllllll
MATCH: /t{11,20}/ tttkrtlpttwftmwttttt, tttttttttttt
MATCH: /d{11,12}/ ddbdddddddpktdd, ddddddddddd
MATCH: /w{4,11}/ sxkmkwdwwnlwxmdvfx, wwww
MATCH: /k{4,5}/ kkzkpk, kkkk
MATCH: /n{13,20}/ nnnnnntnnnnnbnnnbnnn, nnnnnnnnnnnnnnnnn
MATCH: /c{5,7}/ ccccwcc, cccccc
no match: /h{1,6}/ cckkhhdhhwmhhmzchhwx, hhhhhhhh
no match: /b{1,15}/ hbbbbbbbbhbbhbbbbnbb, bbbbbbbbbbbbbbbb
no match: /w{1,2}/ mwwww, wwww
MATCH: /f{1,2}/ sfzgwtf, ff
MATCH: /s{3,4}/ sssj, sss
MATCH: /w{1,3}/ xwww, www
MATCH: /p{1,16}/ ppppppppdppppppp, ppppppppppppppp
no match: /c{1,6}/ ccxmccccc, ccccccc
no match: /b{4,8}/ rtpbcfbr, bb
no match: /s{9,10}/ sszssstshss, ssssssss
no match: /x{15,16}/ xxxtxxxxxxxmxxxzx, xxxxxxxxxxxxxx
MATCH: /k{9,15}/ kkkkkkkkkkgrkkkkk, kkkkkkkkkkkkkkk
MATCH: /x{11,13}/ xtxxxxxxxxrxkxx, xxxxxxxxxxxx
no match: /f{1,5}/ rffflfffnf, fffffff
MATCH: /n{14,16}/ nnxnnnnnnnnnbnzbnnn, nnnnnnnnnnnnnnn
no match: /d{3,6}/ ddddddndbdfdhd, dddddddddd
no match: /q{14,15}/ sbqqhvqqqvqgxfq, qqqqqqq
no match: /b{5,6}/ jglbfjb, bb
MATCH: /l{1,10}/ llllllcllsll, llllllllll
MATCH: /z{3,5}/ lwzzz, zzz
no match: /k{5,12}/ kkkkmkkkkkkkkkkl, kkkkkkkkkkkkkk
no match: /v{8,12}/ vvtsvfvnzvhpm, vvvvv
no match: /l{5,7}/ llllllll, llllllll
MATCH: /f{4,7}/ nqfffkbdf, ffff
